2444214.553250	-73099	2444214.553250	2444214.553233	1.487097	14.999646
2444214.615620	-73098	2444214.615620	2444214.615596	2.105279	14.999646
2444214.677980	-73097	2444214.677980	2444214.677958	1.859495	14.999646
2444968.023090	-61017	2444968.023090	2444968.021128	169.540823	99.999966
2444968.957120	-61002	2444968.957120	2444968.956570	47.485560	99.999966
2444969.019620	-61001	2444969.019620	2444969.018933	59.335747	99.999966
2444978.997550	-60841	2444978.997550	2444978.996988	48.516575	99.999966
2444993.900780	-60602	2444993.900780	2444993.901708	-80.218354	59.999358
2444993.963280	-60601	2444993.963280	2444993.964071	-68.368167	59.999358
2444994.026420	-60600	2444994.026420	2444994.026434	-1.222001	59.999358
2445020.905130	-60169	2445020.905130	2445020.904820	26.749684	19.999614
2445021.902920	-60153	2445021.902920	2445021.902626	25.408553	19.999614
2445024.833860	-60106	2445024.833860	2445024.833680	15.583058	59.999358
2445731.966400	-48767	2445731.966400	2445731.965981	36.232875	29.999550
2445763.833730	-48256	2445763.833730	2445763.833395	28.987008	4.999710
2445854.882800	-46796	2445854.882800	2445854.883148	-30.101869	99.999966
2446054.942310	-43588	2446054.942310	2446054.943156	-73.059632	99.999966
2446086.935650	-43075	2446086.935650	2446086.935295	30.658816	2.999550
2446086.997960	-43074	2446086.997960	2446086.997658	26.092999	2.999550
2448560.557800	-3410	2448560.557800	2448560.557547	21.818349	4.000062
2448773.215090	1	2448773.215090	2448773.214849	20.788984	4.999710
2448774.212930	16	2448774.212930	2448774.212655	23.767845	4.999710
2449137.912940	5848	2449137.912940	2449137.912768	14.883082	4.999710
2449143.962140	5945	2449143.962140	2449143.961964	15.230535	4.999710
2449144.024380	5946	2449144.024380	2449144.024327	4.616712	4.999710
2449144.086890	5947	2449144.086890	2449144.086689	17.330906	4.999710
2449144.960050	5961	2449144.960050	2449144.959769	24.257402	4.999710
2449145.022350	5962	2449145.022350	2449145.022132	18.827619	4.999710
2449145.084540	5963	2449145.084540	2449145.084495	3.893803	4.999710
2449145.147110	5964	2449145.147110	2449145.146858	21.791956	4.999710
2451870.776880	49670	2451870.776880	2451870.777367	-42.102166	4.999710
2451870.901630	49672	2451870.901630	2451870.902093	-40.001795	4.999710
2452284.679000	56307	2452284.679000	2452284.679570	-49.287844	0.950142
2452284.741360	56308	2452284.741360	2452284.741933	-49.533708	1.468542
2454914.832280	98482	2454914.832280	2454914.832564	-24.543943	1.036542
2454914.894660	98483	2454914.894660	2454914.894927	-23.061754	1.209342
2454916.827930	98514	2454916.827930	2454916.828175	-21.178159	1.468542
2454919.696600	98560	2454919.696600	2454919.696866	-22.981891	1.468542
2454920.756780	98577	2454920.756780	2454920.757034	-21.976827	1.382142
2454922.627670	98607	2454922.627670	2454922.627920	-21.575421	1.382142
2454922.690020	98608	2454922.690020	2454922.690283	-22.685212	0.863742
2454922.752370	98609	2454922.752370	2454922.752645	-23.795083	0.863742
2454922.814730	98610	2454922.814730	2454922.815008	-24.040867	0.950142
2454937.781830	98850	2454937.781830	2454937.782091	-22.557592	1.382142
2454937.844200	98851	2454937.844200	2454937.844454	-21.939410	1.036542
2454938.717290	98865	2454938.717290	2454938.717534	-21.060920	1.295742
2454938.779610	98866	2454938.779610	2454938.779897	-24.762730	0.863742
2454940.650510	98896	2454940.650510	2454940.650782	-23.497318	2.332542
2454940.712870	98897	2454940.712870	2454940.713145	-23.743142	0.950142
2454940.775240	98898	2454940.775240	2454940.775508	-23.124960	2.418942
2454940.837640	98899	2454940.837640	2454940.837870	-19.914798	2.073342
2454941.773050	98914	2454941.773050	2454941.773313	-22.738078	1.209342
2454941.835410	98915	2454941.835410	2454941.835676	-22.983903	2.159742
2454942.646120	98928	2454942.646120	2454942.646393	-23.587561	0.950142
2454942.770850	98930	2454942.770850	2454942.771119	-23.215203	1.036542
2454942.833220	98931	2454942.833220	2454942.833482	-22.597021	1.036542
2454942.895590	98932	2454942.895590	2454942.895844	-21.978839	2.764542
2454943.706300	98945	2454943.706300	2454943.706561	-22.582497	0.863742
2454943.768650	98946	2454943.768650	2454943.768924	-23.692328	1.036542
2454943.831010	98947	2454943.831010	2454943.831287	-23.938152	1.468542
2454970.647030	99377	2454970.647030	2454970.647310	-24.232619	3.542142
2454970.709410	99378	2454970.709410	2454970.709673	-22.750430	3.628542
2454993.658930	99746	2454993.658930	2454993.659200	-23.356140	1.295742
2454998.647980	99826	2454998.647980	2454998.648228	-21.421690	1.986942
2455005.632600	99938	2455005.632600	2455005.632867	-23.033510	2.246142
2455135.970980	102028	2455135.970980	2455135.971213	-20.124775	1.986942
2455156.924900	102364	2455156.924900	2455156.925129	-19.776236	1.986942
2455156.987240	102365	2455156.987240	2455156.987492	-21.750033	1.727742
2455157.922710	102380	2455157.922710	2455157.922934	-19.389354	2.418942
2455158.982870	102397	2455158.982870	2455158.983103	-20.112303	2.073342
2455160.916110	102428	2455160.916110	2455160.916351	-20.820688	1.554942
2455160.978470	102429	2455160.978470	2455160.978714	-21.066512	1.382142
2455161.913910	102444	2455161.913910	2455161.914157	-21.297812	1.900542
2455161.976290	102445	2455161.976290	2455161.976519	-19.815624	2.332542
2455162.911740	102460	2455162.911740	2455162.911962	-19.182917	2.850942
2455205.942100	103150	2455205.942100	2455205.942325	-19.454531	1.209342
2455206.004460	103151	2455206.004460	2455206.004688	-19.700396	1.209342
2455206.939920	103166	2455206.939920	2455206.940131	-18.203683	1.036542
2455207.002310	103167	2455207.002310	2455207.002494	-15.857488	1.295742
2455208.873170	103197	2455208.873170	2455208.873379	-18.048102	1.382142
